sku,title,type,den,url,image,filename,folder
648102,Mayflower Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mayflower-council-shoulder-patch-648102.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/4/648102_f.jpg,648102 - Mayflower-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16415,Mecklenburg County Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mecklenburg-county-council-shoulder-patch-16415.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16415.jpg,16415 - Mecklenburg-County-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
659702,Miami Valley Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/miami-valley-council-shoulder-patch-659702.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/659702-retouched.jpg,659702 - Miami-Valley-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
656271,Mid-America Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mid-america-council-shoulder-patch-656271.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/656271.jpg,656271 - Mid-America-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
614663,Mid-Iowa 2012 Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mid-iowa-council-shoulder-patch-614663.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/614663.jpg,614663 - Mid-Iowa-2012-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
604876,Minsi Trails Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/minsi-trails-council-shoulder-patch-604876.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/0/604876.jpg,604876 - Minsi-Trails-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
612556,Mobile Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mobile-area-council-shoulder-patch-612556.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/612556.jpg,612556 - Mobile-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16900,Moraine Trails Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/moraine-trails-council-shoulder-patch-16900.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16900.jpg,16900 - Moraine-Trails-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
19606,Mt. Baker Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mount-baker-council-shoulder-patch-19606.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/9/19606.jpg,19606 - Mt-Baker-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
664805,Mountain West Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/mountain-west-council-shoulder-patch-664805.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/664805_mountain_west_council_patch.jpg,664805 - Mountain-West-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
660299,BSA Narragansett Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/narragansett-council-shoulder-patch-660299.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/660299.jpg,660299 - BSA-Narragansett-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
619472,National Capital Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/national-capital-area-council-shoulder-patch-619472.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/619472.jpg,619472 - National-Capital-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
